user_id,step_order,step_name,event_time
1,1,VIEWED_SIGNUP,2024-11-23 04:03:12
1,2,STARTED_REGISTRATION,2024-11-23 04:09:12
1,3,KYC_COMPLETED,2024-11-23 05:33:12
2,1,VIEWED_SIGNUP,2024-05-05 08:07:36
2,2,STARTED_REGISTRATION,2024-05-05 08:42:36
3,1,VIEWED_SIGNUP,2024-12-12 19:51:22
3,2,STARTED_REGISTRATION,2024-12-12 20:26:22
4,1,VIEWED_SIGNUP,2024-01-17 01:05:05
5,1,VIEWED_SIGNUP,2024-09-15 21:55:07
5,2,STARTED_REGISTRATION,2024-09-15 21:58:07
5,3,KYC_COMPLETED,2024-09-15 23:57:07
6,1,VIEWED_SIGNUP,2024-11-28 19:50:26
6,2,STARTED_REGISTRATION,2024-11-28 20:01:26
6,3,KYC_COMPLETED,2024-11-28 21:26:26
7,1,VIEWED_SIGNUP,2024-10-28 10:07:43
7,2,STARTED_REGISTRATION,2024-10-28 10:32:43
8,1,VIEWED_SIGNUP,2024-06-23 10:07:01
8,2,STARTED_REGISTRATION,2024-06-23 10:21:01
8,3,KYC_COMPLETED,2024-06-23 11:51:01
9,1,VIEWED_SIGNUP,2024-02-22 03:22:36
9,2,STARTED_REGISTRATION,2024-02-22 03:59:36
9,3,KYC_COMPLETED,2024-02-22 04:42:36
10,1,VIEWED_SIGNUP,2024-06-25 21:58:51
10,2,STARTED_REGISTRATION,2024-06-25 22:45:51
10,3,KYC_COMPLETED,2024-06-26 00:23:51
11,1,VIEWED_SIGNUP,2024-10-01 04:32:41
11,2,STARTED_REGISTRATION,2024-10-01 05:24:41
11,3,KYC_COMPLETED,2024-10-01 07:19:41
12,1,VIEWED_SIGNUP,2024-05-30 22:53:17
13,1,VIEWED_SIGNUP,2024-04-08 02:31:56
13,2,STARTED_REGISTRATION,2024-04-08 02:49:56
13,3,KYC_COMPLETED,2024-04-08 03:58:56
14,1,VIEWED_SIGNUP,2024-05-28 02:54:18
15,1,VIEWED_SIGNUP,2024-05-22 16:30:29
15,2,STARTED_REGISTRATION,2024-05-22 17:29:29
15,3,KYC_COMPLETED,2024-05-22 18:58:29
16,1,VIEWED_SIGNUP,2024-07-08 12:56:06
16,2,STARTED_REGISTRATION,2024-07-08 12:57:06
16,3,KYC_COMPLETED,2024-07-08 14:31:06
17,1,VIEWED_SIGNUP,2024-12-25 23:35:39
17,2,STARTED_REGISTRATION,2024-12-26 00:24:39
17,3,KYC_COMPLETED,2024-12-26 01:31:39
18,1,VIEWED_SIGNUP,2024-09-30 08:54:47
18,2,STARTED_REGISTRATION,2024-09-30 09:29:47
18,3,KYC_COMPLETED,2024-09-30 12:14:47
